DATAFLOW,FREQ,REF_AREA,DATA_TYPE,MEASURE,TYPE_UNIV_MANAGEMENT,FACULTY_TYPE,SEX,TITLE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_MEASURE,NOTE_TYPE_UNIV_MANAGEMENT,NOTE_FACULTY_TYPE,NOTE_SEX,NOTE_TITLE,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,1,2007,687,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,1,2008,640,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,1,2009,594,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,1,2010,489,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,1,2011,459,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,2,2007,487,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,2,2008,475,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,2,2009,453,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,2,2010,435,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,2,2011,408,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,3,2007,509,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,3,2008,535,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,3,2009,530,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,3,2010,520,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,3,2011,530,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,9,2007,1683,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,9,2008,1650,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,9,2009,1577,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,9,2010,1444,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,1,9,2011,1397,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,1,2007,90,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,1,2008,89,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,1,2009,84,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,1,2010,80,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,1,2011,77,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,2,2007,199,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,2,2008,200,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,2,2009,196,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,2,2010,204,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,2,2011,201,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,3,2007,329,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,3,2008,347,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,3,2009,353,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,3,2010,355,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,3,2011,357,,,,,,,,,,,,,
